x/H,y/H,z/H,<u/uH>,Uu,<v/uH>,Uv,<w/uH>,Uw,<urms/uH>,Uurms,<vrms/uH>,Uvrms,<wrms/uH>,Uwrms,<tke/uH>,Utke,buffer
-1.000 ,0.000 ,0.005 ,0.010 ,0.004 ,0.007 ,0.003 ,0.045 ,0.005 ,0.0458 ,0.0062 ,0.0034 ,0.0010 ,0.0029 ,0.0008 ,0.0260 ,0.0032 ,0.0000 
-1.000 ,0.000 ,0.050 ,0.253 ,0.017 ,0.007 ,0.004 ,0.036 ,0.005 ,0.0306 ,0.0042 ,0.0045 ,0.0012 ,0.0045 ,0.0010 ,0.0198 ,0.0022 ,0.0000 
-1.000 ,0.000 ,0.125 ,0.386 ,0.025 ,0.007 ,0.005 ,0.039 ,0.006 ,0.0246 ,0.0034 ,0.0064 ,0.0015 ,0.0082 ,0.0014 ,0.0196 ,0.0020 ,0.0000 
-1.000 ,0.000 ,0.250 ,0.488 ,0.032 ,0.008 ,0.006 ,0.024 ,0.007 ,0.0320 ,0.0044 ,0.0069 ,0.0016 ,0.0121 ,0.0018 ,0.0255 ,0.0025 ,0.0000 
-1.000 ,0.000 ,0.500 ,0.636 ,0.041 ,0.008 ,0.008 ,0.002 ,0.008 ,0.0389 ,0.0053 ,0.0074 ,0.0017 ,0.0157 ,0.0021 ,0.0310 ,0.0030 ,0.0000 
-1.000 ,0.000 ,0.750 ,0.771 ,0.050 ,0.007 ,0.009 ,0.021 ,0.009 ,0.0441 ,0.0060 ,0.0079 ,0.0018 ,0.0165 ,0.0022 ,0.0343 ,0.0033 ,0.0000 
-1.000 ,0.000 ,0.875 ,0.827 ,0.054 ,0.008 ,0.010 ,0.027 ,0.010 ,0.0450 ,0.0061 ,0.0087 ,0.0019 ,0.0158 ,0.0021 ,0.0348 ,0.0034 ,0.0000 
-1.000 ,0.000 ,0.950 ,0.861 ,0.056 ,0.008 ,0.010 ,0.035 ,0.011 ,0.0434 ,0.0059 ,0.0097 ,0.0020 ,0.0171 ,0.0023 ,0.0351 ,0.0033 ,0.0000 
-1.000 ,0.000 ,1.000 ,0.879 ,0.057 ,0.008 ,0.010 ,0.038 ,0.011 ,0.0411 ,0.0056 ,0.0115 ,0.0023 ,0.0159 ,0.0022 ,0.0343 ,0.0032 ,0.0000 
-1.000 ,0.000 ,1.050 ,0.897 ,0.058 ,0.007 ,0.010 ,0.052 ,0.011 ,0.0397 ,0.0054 ,0.0134 ,0.0025 ,0.0154 ,0.0021 ,0.0342 ,0.0032 ,0.0000 
-1.000 ,0.000 ,1.125 ,0.931 ,0.060 ,0.000 ,0.011 ,0.061 ,0.012 ,0.0339 ,0.0046 ,0.0173 ,0.0030 ,0.0117 ,0.0018 ,0.0315 ,0.0029 ,0.0000 
-1.000 ,0.000 ,1.250 ,0.985 ,0.064 ,0.000 ,0.011 ,0.059 ,0.012 ,0.0342 ,0.0047 ,0.0178 ,0.0031 ,0.0119 ,0.0018 ,0.0319 ,0.0030 ,0.0000 
-1.000 ,0.000 ,1.500 ,1.076 ,0.070 ,-0.001 ,0.012 ,0.058 ,0.013 ,0.0332 ,0.0046 ,0.0144 ,0.0027 ,0.0121 ,0.0018 ,0.0299 ,0.0028 ,0.0000 
-0.750 ,0.000 ,0.005 ,-0.290 ,0.019 ,0.015 ,0.004 ,0.013 ,0.005 ,0.1096 ,0.0144 ,0.0039 ,0.0011 ,0.0132 ,0.0019 ,0.0633 ,0.0073 ,0.0000 
-0.750 ,0.000 ,0.050 ,-0.072 ,0.006 ,0.014 ,0.003 ,0.019 ,0.004 ,0.0569 ,0.0076 ,0.0050 ,0.0013 ,0.0284 ,0.0032 ,0.0452 ,0.0042 ,0.0000 
-0.750 ,0.000 ,0.125 ,0.323 ,0.021 ,0.011 ,0.005 ,-0.024 ,0.005 ,0.0312 ,0.0043 ,0.0077 ,0.0017 ,0.0275 ,0.0031 ,0.0332 ,0.0028 ,0.0000 
-0.750 ,0.000 ,0.250 ,0.375 ,0.025 ,0.010 ,0.005 ,-0.077 ,0.008 ,0.0259 ,0.0036 ,0.0087 ,0.0019 ,0.0155 ,0.0021 ,0.0251 ,0.0023 ,0.0000 
-0.750 ,0.000 ,0.500 ,0.458 ,0.030 ,0.010 ,0.006 ,-0.092 ,0.009 ,0.0283 ,0.0039 ,0.0096 ,0.0020 ,0.0169 ,0.0022 ,0.0274 ,0.0025 ,0.0000 
