x(mm),y(mm),z(mm),x/H,y/H,z/H,<c>(ppm),<c>/Co,σC(ppm),σC/Co
-200,0,10,-1.000,0.000,0.050,-0.211,-0.005,5.564,0.123
-200,0,12.5,-1.000,0.000,0.065,0.055,0.001,4.953,0.110
-200,0,25,-1.000,0.000,0.125,-0.271,-0.006,5.554,0.123
-200,0,50,-1.000,0.000,0.250,0.066,0.001,4.963,0.110
-200,0,100,-1.000,0.000,0.500,0.106,0.002,4.976,0.110
-200,0,150,-1.000,0.000,0.750,0.216,0.005,5.539,0.123
-200,0,175,-1.000,0.000,0.875,0.053,0.001,5.258,0.116
-200,0,190,-1.000,0.000,0.950,0.101,0.002,5.479,0.121
-200,0,200,-1.000,0.000,1.000,-0.042,-0.001,5.552,0.123
-200,0,210,-1.000,0.000,1.050,0.137,0.003,5.698,0.126
-200,0,225,-1.000,0.000,1.125,-0.002,0.000,5.291,0.117
-200,0,250,-1.000,0.000,1.250,0.100,0.002,5.435,0.120
-200,0,300,-1.000,0.000,1.500,0.113,0.003,5.566,0.123
-150,0,10,-0.750,0.000,0.050,0.060,0.001,5.574,0.123
-150,0,12.5,-0.750,0.000,0.065,0.092,0.002,4.903,0.109
-150,0,25,-0.750,0.000,0.125,0.228,0.005,5.928,0.131
-150,0,50,-0.750,0.000,0.250,-0.018,0.000,4.949,0.110
-150,0,100,-0.750,0.000,0.500,0.027,0.001,4.978,0.110
-150,0,150,-0.750,0.000,0.750,0.207,0.005,5.770,0.128
-150,0,175,-0.750,0.000,0.875,0.111,0.002,6.074,0.134
-150,0,190,-0.750,0.000,0.950,0.148,0.003,5.818,0.129
-150,0,200,-0.750,0.000,1.000,0.080,0.002,5.528,0.122
-150,0,210,-0.750,0.000,1.050,0.239,0.005,5.552,0.123
-150,0,225,-0.750,0.000,1.125,-0.216,-0.005,5.431,0.120
-150,0,250,-0.750,0.000,1.250,0.036,0.001,5.899,0.131
-150,0,300,-0.750,0.000,1.500,0.065,0.001,6.082,0.135
-125,0,10,-0.625,0.000,0.050,0.204,0.005,5.293,0.117
-125,0,12.5,-0.625,0.000,0.065,0.288,0.006,5.112,0.113
-125,0,25,-0.625,0.000,0.125,0.213,0.005,5.328,0.118
-125,0,50,-0.625,0.000,0.250,0.213,0.005,5.148,0.114
-125,0,100,-0.625,0.000,0.500,0.189,0.004,5.107,0.113
-125,0,150,-0.625,0.000,0.750,0.169,0.004,5.772,0.128
-125,0,175,-0.625,0.000,0.875,-0.252,-0.006,5.916,0.131
-125,0,190,-0.625,0.000,0.950,-0.387,-0.009,5.807,0.129
-125,0,200,-0.625,0.000,1.000,-0.234,-0.005,5.762,0.128
-125,0,210,-0.625,0.000,1.050,-0.443,-0.010,5.840,0.129
-125,0,225,-0.625,0.000,1.125,-0.563,-0.012,5.783,0.128
-125,0,250,-0.625,0.000,1.250,-0.567,-0.013,5.799,0.128
-125,0,300,-0.625,0.000,1.500,-0.243,-0.005,5.615,0.124
-110,0,10,-0.550,0.000,0.050,0.214,0.005,5.435,0.120
-110,0,12.5,-0.550,0.000,0.065,0.244,0.005,5.104,0.113
-110,0,25,-0.550,0.000,0.125,0.124,0.003,5.440,0.120
-110,0,50,-0.550,0.000,0.250,0.248,0.005,5.036,0.111
-110,0,100,-0.550,0.000,0.500,0.223,0.005,5.172,0.114
-110,0,150,-0.550,0.000,0.750,0.254,0.006,5.643,0.125
-110,0,175,-0.550,0.000,0.875,0.167,0.004,5.413,0.120
-110,0,190,-0.550,0.000,0.950,0.230,0.005,5.587,0.124
-110,0,200,-0.550,0.000,1.000,0.280,0.006,5.393,0.119
-110,0,210,-0.550,0.000,1.050,0.158,0.003,5.380,0.119
-110,0,225,-0.550,0.000,1.125,0.215,0.005,5.995,0.133
-110,0,250,-0.550,0.000,1.250,0.210,0.005,5.751,0.127
-110,0,300,-0.550,0.000,1.500,0.281,0.006,5.716,0.127
-100,0,205,-0.500,0.000,1.025,-0.662,-0.015,5.609,0.124
-100,0,210,-0.500,0.000,1.050,-0.473,-0.010,5.574,0.123
-100,0,225,-0.500,0.000,1.125,-0.321,-0.007,5.823,0.129
-100,0,250,-0.500,0.000,1.250,0.245,0.005,5.825,0.129
-100,0,300,-0.500,0.000,1.500,0.276,0.006,5.649,0.125
-75,0,205,-0.375,0.000,1.025,6.540,0.145,11.420,0.253
-75,0,210,-0.375,0.000,1.050,4.987,0.110,10.152,0.225
-75,0,225,-0.375,0.000,1.125,-0.424,-0.009,5.766,0.128
-75,0,250,-0.375,0.000,1.250,-0.477,-0.011,5.570,0.123
-75,0,300,-0.375,0.000,1.500,-0.831,-0.018,5.390,0.119
-50,0,205,-0.250,0.000,1.025,5.077,0.112,8.816,0.195
-50,0,210,-0.250,0.000,1.050,4.306,0.095,9.909,0.219
-50,0,225,-0.250,0.000,1.125,0.731,0.016,6.584,0.146
-50,0,250,-0.250,0.000,1.250,-0.438,-0.010,5.566,0.123
-50,0,300,-0.250,0.000,1.500,-0.558,-0.012,5.347,0.118
-25,0,205,-0.125,0.000,1.025,4.121,0.091,8.419,0.186
-25,0,210,-0.125,0.000,1.050,3.423,0.076,7.105,0.157
-25,0,225,-0.125,0.000,1.125,1.625,0.036,6.138,0.136
-25,0,250,-0.125,0.000,1.250,0.046,0.001,5.499,0.122
-25,0,300,-0.125,0.000,1.500,-0.616,-0.014,5.338,0.118
0,0,205,0.000,0.000,1.025,6.031,0.133,18.174,0.402
0,0,210,0.000,0.000,1.050,4.531,0.100,10.481,0.232
0,0,225,0.000,0.000,1.125,1.606,0.036,6.648,0.147
0,0,250,0.000,0.000,1.250,0.316,0.007,5.462,0.121
0,0,300,0.000,0.000,1.500,-0.125,-0.003,5.493,0.122
10,0,10,0.050,0.000,0.050,2204.056,48.787,747.623,16.549
10,0,12.5,0.050,0.000,0.065,2104.234,46.577,740.636,16.394
10,0,25,0.050,0.000,0.125,1687.714,37.358,717.954,15.892
10,0,50,0.050,0.000,0.250,866.518,19.180,486.299,10.764
10,0,100,0.050,0.000,0.500,367.577,8.136,243.154,5.382
10,0,150,0.050,0.000,0.750,229.958,5.090,155.515,3.442
10,0,175,0.050,0.000,0.875,189.424,4.193,122.651,2.715
10,0,190,0.050,0.000,0.950,183.311,4.058,101.124,2.238
10,0,200,0.050,0.000,1.000,47.236,1.046,43.107,0.954
10,0,210,0.050,0.000,1.050,7.014,0.155,14.141,0.313
